Datum,Vrijeme,Osoba,Tip aktivnosti,Šta je urađeno,Kompanija / tema,Ishod,Rezultat / napomena,Sljedeći korak
31.03.2026,09:15,Azra,Kontakt,"Kontaktirala Ovnak, Afrodita i Gloria za poklon pakete","Ovnak, Afrodita, Gloria",U toku,"Ovnak odgovorio pozitivno, čeka ponudu",Follow-up sutra Gloria i Afrodita
31.03.2026,10:30,Alena,Kontakt,Kontaktirala MADO za lokaciju press konferencije 17.04.,MADO,U toku,Čeka povratni poziv do kraja dana,Ako nema odgovora — alternativna lokacija
31.03.2026,11:00,Džemaludin,PR / marketing,Izradio content plan za april — vizuali i najava press konf.,,Pozitivan,"Plan odobren, kreće realizacija od 7.04.",Objaviti teaser 7.04.
31.03.2026,13:45,Slađana,Sastanak,Sastanak sa Skenderijom oko šanka i tehničkih detalja sajma,Skenderija,U toku,Šank u pregovorima — rok za odluku 5.04. ili 1.500 KM penala,Odluka do 5.04.!
31.03.2026,14:20,Selma,Zadatak,Koordinacija sa InfoCode — testiranje sistema digitalnih prijava,InfoCode,Pozitivan,"Sistem spreman, linkovi za prijave aktivni",
30.03.2026,10:00,Azra,Prodaja,Potvrda od Osijek Fashion i Taya — ugovori potpisani,"Osijek Fashion, Taya",Pozitivan,Oba ugovora potpisana. Plaćanje stiže do kraja sedmice.,
30.03.2026,15:00,Alena,Sastanak,Prezentacija budžeta timu — revidiran na 144.504 KM,,Pozitivan,Budžet usvojen. Ugovoreno 114.000 KM. Gap: 30.504 KM.,Fokus na prodaju preostalih slotova
29.03.2026,12:00,Džemaludin,PR / marketing,Objavljen teaser za Women 100 Shop & Show Expo na svim kanalima,,Pozitivan,"Reach 4.200 u prvom danu, 87 interakcija",Nastaviti sa content kalendarom
29.03.2026,09:30,Azra,Kontakt,Poziv M-Bike za potvrdu štanda,M-Bike,U toku,Čeka se odluka nadređenih do 3.04.,Follow-up 3.04. ako nema odgovora
28.03.2026,11:00,Selma,Zadatak,Definisani okvirni govornici za Dan 1 — 7 sati sadržaja,,Pozitivan,"Raspored gotov, treba precizirati tačan redoslijed",Finalizovati raspored do 20.04.
