Opis zadatka,Odgovorna osoba,Kategorija,Prioritet,Status,Deadline,Napomena
Nabaviti 15 nagrada za dodjelu (WOMEN 100 Impact + sve kategorije),Slađana,Party,Hitno,Treba uraditi,20.05.2026,
Pokrenuti prodaju kotizacija za Women 100 party,Slađana,Prodaja,Hitno,Treba uraditi,10.04.2026,
Definisati broj konobara i logistike za party,Slađana,Logistika,Normalno,Treba uraditi,,
Koordinacija hrane i konobara sa kabinetom FBiH,Slađana,Logistika,Normalno,Treba uraditi,,
Odrediti izvođača nastupa (Goca Tržan / Jugoton / Benjamin Milić),Slađana,Party,Hitno,Treba uraditi,15.04.2026,
Pripremiti 24 poklon paketa za novinare,Slađana,PR,Normalno,Treba uraditi,25.05.2026,
"Press konferencija 17.04. — ozvučenje, mikrofoni, ekran, stolice",Alena,PR,Hitno,Treba uraditi,17.04.2026,
Potvrditi lokaciju press konferencije — MADO,Alena,PR,Hitno,Treba uraditi,08.04.2026,
Pripremiti prvi PR: kompletan koncept sajam + party + nagrade,Alena,PR,Hitno,Treba uraditi,12.04.2026,
Angažovati Mirsadu i platiti Klixu objavu (1.800 KM),Alena,PR,Normalno,Treba uraditi,,
Definisati termin ulaska izlagača 29. maja za pripremu,Alena,Sajam,Normalno,Treba uraditi,,
Finansijski plan — praćenje budžeta (revidiran na 144.504 KM),Alena,Finansije,Hitno,Treba uraditi,,Ugovoreno 114.000 KM. Gap: 30.504 KM
Ugovor sa Agram i IQOS — finalizacija detalja,Alena,Prodaja,Normalno,Treba uraditi,,
"Kontaktirati partnere za poklon pakete (Ovnak, Afrodita, Gloria, Melon, Agroherc, Orbico)",Azra,Prodaja,Hitno,Treba uraditi,10.04.2026,
Osigurati premium poklone za dobitnice nagrada,Azra,Party,Normalno,Treba uraditi,,
Angažovati 3 hostese za digitalne prijave učesnika,Azra,Logistika,Normalno,Treba uraditi,,
"Koordinacija policije, hitne pomoći i KDZ službe za sajam",Azra,Sigurnost,Hitno,Treba uraditi,,
Potvrditi UN Women i M-Bike za štand,Azra,Prodaja,Normalno,Treba uraditi,,Čeka se odluka M-Bike do 3.04.
Ponuditi coffee brand u B2B areni (Caribou / Coffee Station),Azra,Prodaja,Normalno,Treba uraditi,,Paviljon koncept
Definisati rokove za klijente sa besplatnim štandom,Selma,Sajam,Hitno,Treba uraditi,,Moraju dovesti poslovne kontakte
Precizirati raspored govornika po danima — ko i kada izlaže,Selma,Program,Hitno,Treba uraditi,20.04.2026,
Kategorije nagrada + lista 15 kandidatkinja,Selma,Party,Hitno,Treba uraditi,15.04.2026,"UN Women x2, Impact, Game Changer, 787"
Koordinirati InfoCode za digitalne prijave učesnika sajma,Selma,Sajam,Normalno,Treba uraditi,,
Networking koncept '3 osobe koje moraš upoznati',Selma,Program,Low,Treba uraditi,,
Angažovati drugog fotografa (CasadiCampara/Maša potvrđena),Selma,Produkcija,Normalno,Treba uraditi,,
Kampanja prema 800+ leadova — email i pozivnice za sajam i party,Džemaludin,Marketing,Hitno,Treba uraditi,07.04.2026,HITNO — ovo kasni!
Vizuali i reels za sve sponzore (Platinum/Gold/Silver/Bronze),Džemaludin,Marketing,Hitno,Treba uraditi,,
Najava press konferencije na društvenim mrežama,Džemaludin,Marketing,Hitno,Treba uraditi,14.04.2026,
Kampanja za kotizacije party na društvenim mrežama,Džemaludin,Marketing,Hitno,Treba uraditi,,
"Objave o izlagačima — tematske ulice (Moda, Ljepota, Nakit...)",Džemaludin,Marketing,Normalno,Treba uraditi,,
Dogovoriti šank sa Skenderijom (ili 1.500 KM penala),Svi,Logistika,Hitno,Treba uraditi,05.04.2026,Rok za odluku 5.04.!
Provjera stolnjaka za boksove sa Džemom i Skenderijom,Svi,Logistika,Low,Treba uraditi,,
Postavka cerade na Domu mladih,Svi,Produkcija,Normalno,Treba uraditi,29.04.2026,
Odluka o frame konstrukciji na ulazu — angažman dizajnera,Svi,Produkcija,Low,Treba uraditi,,
"Uređenje ulaza Dom mladih — etison, svijeće, LED rasvjeta (8 kom)",Svi,Produkcija,Normalno,Treba uraditi,28.05.2026,
